Date : 2025-03-03 20:24:21
Directory : c:\programmering\visualstudiocodeFiles\CASproject\CASproject
Total : 93 files,  3244 codes, 447 comments, 592 blanks, all 4283 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C#         |         59 |      2,528 |        447 |        457 |      3,432 |
| Markdown   |         20 |        378 |          0 |        130 |        508 |
| JSON       |         10 |        296 |          0 |          0 |        296 |
| XML        |          3 |         29 |          0 |          4 |         33 |
| Properties |          1 |         13 |          0 |          1 |         14 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |         93 |      3,244 |        447 |        592 |      4,283 |
| . (Files)                                                                                                                          |          1 |         11 |          0 |          4 |         15 |
| .VSCodeCounter                                                                                                                     |         25 |        383 |          0 |        130 |        513 |
| .VSCodeCounter\2025-01-08_20-28-27                                                                                                 |          5 |         52 |          0 |         26 |         78 |
| .VSCodeCounter\2025-01-08_20-28-32                                                                                                 |          5 |         73 |          0 |         26 |         99 |
| .VSCodeCounter\2025-01-09_15-05-53                                                                                                 |          5 |         74 |          0 |         26 |        100 |
| .VSCodeCounter\2025-01-09_15-05-57                                                                                                 |          5 |         76 |          0 |         26 |        102 |
| .VSCodeCounter\2025-01-10_15-36-08                                                                                                 |          5 |        108 |          0 |         26 |        134 |
| bin                                                                                                                                |          2 |         71 |          0 |          0 |         71 |
| bin\Debug                                                                                                                          |          2 |         71 |          0 |          0 |         71 |
| bin\Debug\net8.0                                                                                                                   |          2 |         71 |          0 |          0 |         71 |
| obj                                                                                                                                |          9 |        270 |         11 |          8 |        289 |
| obj (Files)                                                                                                                        |          4 |        237 |          0 |          0 |        237 |
| obj\Debug                                                                                                                          |          5 |         33 |         11 |          8 |         52 |
| obj\Debug\net8.0                                                                                                                   |          5 |         33 |         11 |          8 |         52 |
| src                                                                                                                                |         56 |      2,509 |        436 |        450 |      3,395 |
| src (Files)                                                                                                                        |          1 |         32 |          3 |          4 |         39 |
| src\Application                                                                                                                    |          8 |        830 |        120 |        102 |      1,052 |
| src\Application (Files)                                                                                                            |          4 |        371 |        106 |         80 |        557 |
| src\Application\Startup                                                                                                            |          4 |        459 |         14 |         22 |        495 |
| src\Commands                                                                                                                       |         16 |        405 |         27 |         77 |        509 |
| src\Commands\Info                                                                                                                  |          6 |        212 |         14 |         42 |        268 |
| src\Commands\Other                                                                                                                 |          4 |         68 |          0 |         11 |         79 |
| src\Commands\State                                                                                                                 |          4 |         69 |          0 |         12 |         81 |
| src\Commands\Structure                                                                                                             |          2 |         56 |         13 |         12 |         81 |
| src\Math                                                                                                                           |         29 |      1,144 |        251 |        247 |      1,642 |
| src\Math\Basic operators                                                                                                           |          4 |        338 |         62 |         75 |        475 |
| src\Math\Calculation                                                                                                               |          4 |        106 |         32 |         25 |        163 |
| src\Math\Formal operators                                                                                                          |         10 |        257 |         26 |         63 |        346 |
| src\Math\Formal operators\Iterative                                                                                                |          3 |        134 |         10 |         25 |        169 |
| src\Math\Formal operators\Other                                                                                                    |          1 |         17 |          4 |          8 |         29 |
| src\Math\Formal operators\Trigonometric                                                                                            |          6 |        106 |         12 |         30 |        148 |
| src\Math\Other                                                                                                                     |          4 |        153 |         25 |         38 |        216 |
| src\Math\Structure                                                                                                                 |          7 |        290 |        106 |         46 |        442 |
| src\Other                                                                                                                          |          2 |         98 |         35 |         20 |        153 |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                           | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\programmering\visualstudiocodeFiles\CASproject\CASproject\.VSCodeCounter\2025-01-08_20-28-27\details.md                         | Markdown   |         16 |          0 |          6 |         22 |
