Date : 2025-03-04 19:11:18
Directory : c:\programmering\visualstudiocodeFiles\CASproject\CASproject
Total : 123 files,  806 codes, 458 comments, 532 blanks, all 1796 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C#         |         74 |      2,176 |        458 |        406 |      3,040 |
| Markdown   |         20 |        378 |          0 |        130 |        508 |
| Properties |          3 |        -13 |          0 |         -1 |        -14 |
| XML        |          8 |        -63 |          0 |         -3 |        -66 |
| JSON       |         18 |     -1,672 |          0 |          0 |     -1,672 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        123 |        806 |        458 |        532 |      1,796 |
| . (Files)                                                                                                                           |          1 |         11 |          0 |          4 |         15 |
| ..                                                                                                                                  |         30 |     -2,467 |        -26 |        -78 |     -2,571 |
| ..\UnitTests                                                                                                                        |         30 |     -2,467 |        -26 |        -78 |     -2,571 |
| ..\UnitTests (Files)                                                                                                                |          3 |        -44 |          0 |        -10 |        -54 |
| ..\UnitTests\Commands                                                                                                               |          3 |       -114 |          0 |        -17 |       -131 |
| ..\UnitTests\Math                                                                                                                   |          5 |       -208 |         -4 |        -36 |       -248 |
| ..\UnitTests\bin                                                                                                                    |          4 |       -552 |          0 |          0 |       -552 |
| ..\UnitTests\bin\Debug                                                                                                              |          4 |       -552 |          0 |          0 |       -552 |
| ..\UnitTests\bin\Debug\net8.0                                                                                                       |          4 |       -552 |          0 |          0 |       -552 |
| ..\UnitTests\obj                                                                                                                    |         15 |     -1,549 |        -22 |        -15 |     -1,586 |
| ..\UnitTests\obj (Files)                                                                                                            |          7 |     -1,485 |          0 |          0 |     -1,485 |
| ..\UnitTests\obj\Debug                                                                                                              |          8 |        -64 |        -22 |        -15 |       -101 |
| ..\UnitTests\obj\Debug\net8.0                                                                                                       |          8 |        -64 |        -22 |        -15 |       -101 |
| .VSCodeCounter                                                                                                                      |         25 |        383 |          0 |        130 |        513 |
| .VSCodeCounter\2025-01-08_20-28-27                                                                                                  |          5 |         52 |          0 |         26 |         78 |
| .VSCodeCounter\2025-01-08_20-28-32                                                                                                  |          5 |         73 |          0 |         26 |         99 |
| .VSCodeCounter\2025-01-09_15-05-53                                                                                                  |          5 |         74 |          0 |         26 |        100 |
| .VSCodeCounter\2025-01-09_15-05-57                                                                                                  |          5 |         76 |          0 |         26 |        102 |
| .VSCodeCounter\2025-01-10_15-36-08                                                                                                  |          5 |        108 |          0 |         26 |        134 |
| bin                                                                                                                                 |          2 |         71 |          0 |          0 |         71 |
